task,participant_id,language,group,session,dominant_hand,hand_used,mode,mapping,trial,block,trial_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,stimulus_path,start_time,end_time,tap_num,pace_ms,synch_sound_ticks,response_ticks,intervals
TAP,demo,,1,1,right,right,demo,1,4,b1,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-12,2026-05-05_13-31-15,2,550,51535,52008,727
TAP,demo,,1,1,right,right,demo,1,4,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-12,2026-05-05_13-31-15,3,550,NA,52192,NA
TAP,demo,,1,1,right,right,demo,1,4,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-12,2026-05-05_13-31-15,4,550,NA,52380,188
TAP,demo,,1,1,right,right,demo,1,4,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-12,2026-05-05_13-31-15,5,550,NA,52678,298
TAP,demo,,1,1,right,right,demo,1,4,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-12,2026-05-05_13-31-15,6,550,NA,52990,312
TAP,demo,,1,1,right,right,demo,1,4,b1,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-12,2026-05-05_13-31-15,7,550,NA,53242,252
TAP,demo,,1,1,right,right,demo,1,5,b2,experimental,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-20,2026-05-05_13-31-26,1,550,59464,59547,NA
TAP,demo,,1,1,right,right,demo,1,5,b2,experimental,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-20,2026-05-05_13-31-26,2,550,60016,60534,987
TAP,demo,,1,1,right,right,demo,1,5,b2,experimental,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-20,2026-05-05_13-31-26,3,550,60567,61079,545
TAP,demo,,1,1,right,right,demo,1,5,b2,experimental,synchronized,space,FALSE,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-20,2026-05-05_13-31-26,4,550,61117,NA,NA
TAP,demo,,1,1,right,right,demo,1,5,b2,experimental,synchronized,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-20,2026-05-05_13-31-26,5,550,61669,61684,NA
TAP,demo,,1,1,right,right,demo,1,5,b2,experimental,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-20,2026-05-05_13-31-26,6,550,NA,62275,NA
TAP,demo,,1,1,right,right,demo,1,5,b2,experimental,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-20,2026-05-05_13-31-26,7,550,NA,62807,532
TAP,demo,,1,1,right,right,demo,1,5,b2,experimental,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-20,2026-05-05_13-31-26,8,550,NA,63341,534
TAP,demo,,1,1,right,right,demo,1,5,b2,experimental,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-20,2026-05-05_13-31-26,9,550,NA,63856,515
TAP,demo,,1,1,right,right,demo,1,5,b2,experimental,self_paced,space,True,NA,NA,1,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-20,2026-05-05_13-31-26,10,550,NA,64447,591
TAP,demo,,1,1,right,right,demo,1,6,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-27,2026-05-05_13-31-31,1,550,66106,66480,NA
TAP,demo,,1,1,right,right,demo,1,6,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-27,2026-05-05_13-31-31,2,550,66659,66899,419
TAP,demo,,1,1,right,right,demo,1,6,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-27,2026-05-05_13-31-31,3,550,67209,67415,516
TAP,demo,,1,1,right,right,demo,1,6,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-27,2026-05-05_13-31-31,4,550,67760,67852,437
TAP,demo,,1,1,right,right,demo,1,6,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-27,2026-05-05_13-31-31,5,550,NA,68459,NA
TAP,demo,,1,1,right,right,demo,1,6,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-27,2026-05-05_13-31-31,6,550,NA,68743,284
TAP,demo,,1,1,right,right,demo,1,6,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-27,2026-05-05_13-31-31,7,550,NA,68955,212
TAP,demo,,1,1,right,right,demo,1,6,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-27,2026-05-05_13-31-31,8,550,NA,69179,224
TAP,demo,,1,1,right,right,demo,1,6,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-27,2026-05-05_13-31-31,9,550,NA,69383,204
